ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
488777805,2025-10-02T01:01:23.003000,2025-10-02T01:24:53.756000,buy,0.02,0.1,XAUUSD,3854.11,3864.171,3854.21,3864.43,,0,20.12,,,user
488649927,2025-10-02T00:20:42.133000,2025-10-02T01:00:02.785000,buy,0.1,0.1,XAUUSD,3857.548,3853.381,3854.548,3867.628,0,0,-41.67,,,sl
488362824,2025-10-01T15:30:05.139000,2025-10-01T18:05:03.017000,buy,0.01,0.01,XAUUSD,3858.917,3855.917,3855.917,3890.941,0,0,-3,,,sl
488266376,2025-10-01T14:47:35.341000,2025-10-01T14:47:43.783000,buy,0.01,0.01,XAUUSD,3865.922,3861.909,3863.495,3890.973,0,0,-4.01,,,sl
486703046,2025-09-30T19:20:10.808000,2025-09-30T19:39:00.389000,sell,0.01,0.01,XAUUSD,3851.99,3854.99,3854.99,3792.52,0,0,-3,,,sl
486659570,2025-09-30T14:52:38.925000,2025-09-30T14:54:05.497000,sell,0.01,0.01,XAUUSD,3850.14,3853.14,3853.14,3793.039,0,0,-3,,,sl
484992494,2025-09-29T17:00:55.021000,2025-09-29T17:06:01.310000,sell,0.02,0.02,XAUUSD,3831.339,3832.849,3832.849,3816.326,0,0,-3.02,,,sl
484943832,2025-09-29T15:53:36.440000,2025-09-29T16:16:14.878000,sell,0.02,0.02,XAUUSD,3832.185,3833.685,3833.685,3817.185,0,0,-3,,,sl
484890475,2025-09-29T15:42:42.899000,2025-09-29T15:48:48.973000,sell,0.01,0.01,XAUUSD,3830.055,3833.055,3833.055,,0,0,-3,,,sl
480750940,2025-09-26T14:33:52.170000,2025-09-26T19:21:10.696000,sell,0.01,0.01,XAUUSD,3781.32,3775.297,3784.32,3734.467,0,0,6.02,,,user
480589087,2025-09-26T14:00:38.585000,2025-09-26T14:02:04.794000,sell,0.01,0.01,XAUUSD,3763.675,3766.675,3766.675,3733.602,0,0,-3,,,sl
479363674,2025-09-25T14:52:27.398000,2025-09-25T18:38:11.178000,buy,0.01,0.01,XAUUSD,3724.453,3754.475,3721.453,3754.475,0,0,30.03,,,tp
479270710,2025-09-25T14:37:59.841000,2025-09-25T14:40:10.331000,buy,0.01,0.01,XAUUSD,3728.56,3725.56,3725.56,3790.888,0,0,-3,,,sl
479252428,2025-09-25T13:45:42.300000,2025-09-25T13:46:55.688000,buy,0.01,0.01,XAUUSD,3727.286,3724.304,3724.304,,0,0,-2.99,,,sl
473421404,2025-09-19T17:45:38.226000,2025-09-19T17:45:41.612000,sell,0.02,0.02,XAUUSD,3674.83,3676.33,3676.33,3656.541,0,0,-3,,,sl
473332597,2025-09-19T14:35:57.471000,2025-09-19T14:39:16.524000,sell,0.02,0.02,XAUUSD,3664.288,3665.788,3665.788,3627.485,0,0,-3,,,sl
473287691,2025-09-19T14:25:55.728000,2025-09-19T14:28:41.733000,sell,0.02,0.02,XAUUSD,3663.019,3664.593,3664.593,3627.609,0,0,-3.15,,,sl
473026562,2025-09-19T13:36:18.466000,2025-09-19T13:56:52.676000,sell,0.01,0.01,XAUUSD,3658.585,3661.585,3661.585,3627.456,0,0,-3,,,sl
462949956,2025-09-10T12:48:58.236000,2025-09-10T12:50:27.772000,buy,0.01,0.01,XAUUSD,3644.255,3641.938,3642.255,3674.547,0,0,-2.32,,,sl
458736511,2025-09-05T16:34:51.721000,2025-09-05T18:12:39.702000,sell,0.02,0.03,XAUUSD,3599.251,3594.251,3600.251,3594.251,0,0,10,,,tp
458736511,2025-09-05T16:34:51.721000,2025-09-05T16:58:14.863000,sell,0.01,0.03,XAUUSD,3599.251,3594.223,3600.251,3594.251,,0,5.03,,,user
458730851,2025-09-05T16:27:36.778000,2025-09-05T16:30:56.528000,sell,0.02,0.02,XAUUSD,3598.7,3600.2,3600.2,,0,0,-3,,,sl
458716072,2025-09-05T16:11:21.543000,2025-09-05T16:24:05.494000,sell,0.02,0.02,XAUUSD,3597.78,3599.34,3599.34,3574.57,0,0,-3.12,,,sl
458424782,2025-09-05T13:45:05.731000,2025-09-05T13:46:37.927000,sell,0.02,0.02,XAUUSD,3585.599,3587.099,3587.099,,0,0,-3,,,sl
458385978,2025-09-05T13:42:31.557000,2025-09-05T13:43:42.456000,sell,0.02,0.02,XAUUSD,3583.7,3585.2,3585.2,3568.686,0,0,-3,,,sl
457223873,2025-09-04T14:21:28.893000,2025-09-05T03:54:44.781000,buy,0.01,0.02,XAUUSD,3536.41,3558.807,3536.42,3558.807,0,0,22.4,,,tp
457223873,2025-09-04T14:21:28.893000,2025-09-04T15:46:24.285000,buy,0.01,0.02,XAUUSD,3536.41,3551.528,3536.42,3558.807,,0,15.12,,,user
452970237,2025-09-01T22:07:46.104000,2025-09-01T23:24:37.737000,sell,0.02,0.02,XAUUSD,3480.04,3481.54,3481.54,3455.325,0,0,-3,,,sl
453016155,2025-09-01T17:31:45.008000,2025-09-01T22:05:47.549000,sell,0.03,0.03,XAUUSD,3478.56,3478.55,3478.55,3467.053,0,0,0.03,,,sl
453085857,2025-09-01T17:09:20.576000,2025-09-01T17:27:58.936000,sell,0.03,0.03,XAUUSD,3477.024,3477.924,3477.924,3472.024,0,0,-2.7,,,sl
452928159,2025-09-01T14:13:39.464000,2025-09-01T14:19:38.726000,sell,0.02,0.02,XAUUSD,3478.035,3479.335,3479.335,3471.52,0,0,-2.6,,,sl
